"","x"
"962",3.652
"963",5.367
"964",8.935
"965",11.77
"966",13.582
"967",14.742
"968",14.189
"969",12.321
"970",9.55
"971",6.684
"972",4.016
"973",3.785
"974",4.021
"975",6.239
"976",8.953
"977",11.565
"978",13.765
"979",14.738
"980",14.502
"981",12.236
"982",9.394
"983",6.273
"984",4.519
"985",2.558
"986",3.281
"987",4.873
"988",8.465
"989",11.348
"990",13.245
"991",14.545
"992",13.796
"993",12.039
"994",9.232
"995",5.961
"996",4.327
"997",3.445
"998",3.814
"999",5.699
"1000",8.693
"1001",11.729
"1002",13.478
"1003",14.408
"1004",14.302
"1005",12.698
"1006",9.478
"1007",6.765
"1008",3.829
"1009",2.941
"1010",3.093
"1011",5.671
"1012",8.432
"1013",11.976
"1014",13.387
"1015",14.429
"1016",13.984
"1017",12.015
"1018",9.378
"1019",5.811
"1020",3.185
"1021",3.01
"1022",2.704
"1023",5.451
"1024",8.633
"1025",11.426
"1026",13.569
"1027",13.973
"1028",14.059
"1029",11.98
"1030",9.338
"1031",5.968
"1032",3.785
"1033",3.315
"1034",3.991
"1035",5.755
"1036",8.871
"1037",11.581
"1038",13.439
"1039",14.293
"1040",13.972
"1041",11.817
"1042",9.299
"1043",5.919
"1044",3.751
"1045",3.139
"1046",4.134
"1047",5.245
"1048",8.595
"1049",11.525
"1050",13.927
"1051",14.89
"1052",13.896
"1053",12.447
"1054",9.59
"1055",6.056
"1056",4.489
"1057",3.454
"1058",3.422
"1059",5.931
"1060",8.992
"1061",11.852
"1062",14.099
"1063",14.798
"1064",14.553
"1065",12.681
"1066",9.979
"1067",6.295
"1068",4.363
"1069",2.71
"1070",3.627
"1071",5.792
"1072",8.689
"1073",11.28
"1074",13.447
"1075",14.612
"1076",14.135
"1077",12.403
"1078",9.76
"1079",6.179
"1080",4.43
"1081",3.243
"1082",3.643
"1083",6.73
"1084",9.169
"1085",11.831
"1086",13.893
"1087",14.784
"1088",14.095
"1089",12.195
"1090",9.882
"1091",6.92
"1092",4.425
"1093",3.195
"1094",4.044
"1095",5.574
"1096",9.226
"1097",11.616
"1098",14.263
"1099",14.987
"1100",14.319
"1101",12.677
"1102",9.753
"1103",6.44
"1104",4.059
"1105",3.579
"1106",3.931
"1107",5.952
"1108",8.572
"1109",11.535
"1110",13.576
"1111",14.139
"1112",13.766
"1113",11.672
"1114",9.353
"1115",5.889
"1116",4.075
"1117",3.301
"1118",3.745
"1119",5.923
"1120",8.69
"1121",11.475
"1122",13.518
"1123",14.595
"1124",13.835
"1125",11.93
"1126",9.614
"1127",5.738
"1128",4.035
"1129",3.024
"1130",2.81
"1131",5.731
"1132",9.018
"1133",11.684
"1134",14.144
"1135",14.658
"1136",13.977
"1137",12.516
"1138",10.002
"1139",6.788
"1140",4.113
"1141",3.54
"1142",4.656
"1143",5.956
"1144",8.972
"1145",11.57
"1146",14.164
"1147",15.116
"1148",14.636
"1149",12.565
"1150",10.106
"1151",6.761
"1152",4.123
"1153",2.862
"1154",4.012
"1155",5.524
"1156",8.679
"1157",11.588
"1158",13.681
"1159",14.827
"1160",14.603
"1161",12.294
"1162",9.525
"1163",6.547
"1164",4.325
"1165",3.165
"1166",3.766
"1167",6.012
"1168",8.891
"1169",11.593
"1170",14.131
"1171",14.565
"1172",14.256
"1173",12.685
"1174",10.109
"1175",6.841
"1176",4.417
"1177",3.352
"1178",4.826
"1179",6.023
"1180",9.358
"1181",12.291
"1182",14.521
"1183",15.34
"1184",14.874
"1185",12.673
"1186",9.941
"1187",6.404
"1188",4.669
"1189",3.544
"1190",4.694
"1191",5.53
"1192",8.838
"1193",11.706
"1194",14.031
"1195",14.853
"1196",14.348
"1197",12.723
"1198",9.997
"1199",6.592
"1200",4.565
"1201",2.95
"1202",4.184
"1203",6.219
"1204",9.552
"1205",11.874
"1206",14.06
"1207",14.848
"1208",14.519
"1209",12.547
"1210",9.486
"1211",6.312
"1212",3.863
"1213",3.336
"1214",3.72
"1215",6.208
"1216",9.245
"1217",12.271
"1218",14.11
"1219",15.161
"1220",14.427
"1221",12.736
"1222",9.935
"1223",7.319
"1224",4.507
"1225",4.026
"1226",4.704
"1227",6.772
"1228",9.229
"1229",12.248
"1230",14.084
"1231",15.354
"1232",14.56
"1233",12.95
"1234",9.988
"1235",6.892
"1236",4.038
"1237",3.981
"1238",4.085
"1239",6.048
"1240",9.154
"1241",12.153
"1242",14.017
"1243",14.983
"1244",14.691
"1245",12.911
"1246",10.424
"1247",6.727
"1248",5.133
"1249",3.525
"1250",4.499
"1251",6.321
"1252",9.249
"1253",11.571
"1254",13.889
"1255",14.312
"1256",14.188
"1257",12.642
"1258",10.127
"1259",7.315
"1260",4.257
"1261",3.808
"1262",3.92
"1263",6.544
"1264",9.618
"1265",12.226
"1266",14.476
"1267",15.19
"1268",14.51
"1269",13.217
"1270",10.601
"1271",7.423
"1272",4.878
"1273",3.286
"1274",4.43
"1275",6.329
"1276",9.055
"1277",11.786
"1278",14.443
"1279",15.042
"1280",14.913
"1281",12.875
"1282",10.289
"1283",6.955
"1284",4.987
"1285",4.579
"1286",4.221
"1287",6.485
"1288",9.823
"1289",12.518
"1290",14.309
"1291",15.23
"1292",14.752
"1293",12.93
"1294",10.332
"1295",7.084
"1296",4.523
"1297",2.844
"1298",3.576
"1299",6.906
"1300",9.295
"1301",12.054
"1302",14.145
"1303",15.174
"1304",14.377
"1305",12.802
"1306",10.399
"1307",7.224
"1308",4.385
"1309",3.687
"1310",4.094
"1311",6.086
"1312",9.367
"1313",12.112
"1314",14.201
"1315",15.231
"1316",14.655
"1317",13.153
"1318",10.136
"1319",7.031
"1320",4.31
"1321",3.737
"1322",4.399
"1323",6.738
"1324",9.671
"1325",12.406
"1326",14.421
"1327",15.213
"1328",14.768
"1329",12.863
"1330",10.442
"1331",7.487
"1332",4.292
"1333",3.282
"1334",3.743
"1335",6.101
"1336",9.483
"1337",11.986
"1338",14.37
"1339",15.482
"1340",15.012
"1341",12.912
"1342",10.352
"1343",6.814
"1344",4.655
"1345",3.157
"1346",3.628
"1347",6.023
"1348",9.676
"1349",12.59
"1350",14.492
"1351",15.076
"1352",14.72
"1353",13.04
"1354",10.428
"1355",7.156
"1356",4.102
"1357",3.685
"1358",4.222
"1359",6.261
"1360",9.044
"1361",12.195
"1362",14.568
"1363",15.003
"1364",14.742
"1365",13.154
"1366",10.256
"1367",7.424
"1368",4.724
